Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,analysis_uses_genai,analysis_genai_intensity,analysis_models_mentioned,analysis_build_patterns,analysis_market_type,analysis_vertical,analysis_sub_vertical,analysis_target_market,analysis_unique_findings,analysis_newsletter_potential,analysis_technical_depth,analysis_confidence_score,analysis_content_analyzed_chars,analysis_timestamp,analysis_competitors,analysis_differentiation,analysis_secret_sauce,analysis_competitive_moat
Seed Round - Gambit Security,https://www.crunchbase.com/funding_round/gambit-security-seed--3a95cbc8,Seed,5000000,USD,5000000,2026-02-25,Seed,Gambit Security is an AI-powered cybersecurity platform that focuses on enhancing company resilience against cyberattacks and disruptions.,https://gambit.security,2,"Artificial Intelligence (AI), Cyber Security","New York, New York, United States, North America",,No,unclear,,Knowledge Graphs; Continuous-learning Flywheels; Guardrail-as-LLM (automated validation/compliance checks); Vertical Data Moats,horizontal,cybersecurity,cyber resilience / business continuity / disaster recovery,b2b,"End-to-end fusion of backups + cloud config + IaC into a single live dependency/impact graph (they claim continuous mapping of resources into business applications) — signals a graph-native architecture that treats backups as just one data plane among many rather than the canonical source of truth. | Continuous, evidence-first recoverability validation (phrased as ‘healthy restore point discovery’, ‘immutability validation’, and ‘validate safe and clean recovery paths’) — implies they run automated, recurring restore checks or synthetic restores and produce attestation records for audits. | Scoring model that combines resilience, backup coverage and threat intelligence into prioritized remediation actions — this is an inference engine on top of telemetry and inventory that converts technical signals into SLA-impact scores.",medium,medium,0.00,48106,2026-03-12T06:14:53.900648+00:00,Rubrik; Veeam; Cohesity; Zerto (and similar DR/orchestration vendors); Druva / Commvault / Veritas; Prisma Cloud / Wiz / Lacework (CSPM / cloud posture); Cymulate / SafeBreach (Breach & attack simulation),"Unified, continuous validation of recoverability across backups, cloud configurations and IaC by mapping resources to business applications, scoring resilience, and producing audit‑ready evidence that a recovery will work when needed.","A platform that fuses backup metadata, cloud inventory, and IaC into live business‑application dependency maps and then continuously validates recoverability (healthy restore points, immutability, and dependency integrity) to produce prioritized remediation and audit‑grade proof.",medium
Seed Round - Pluvo,https://www.crunchbase.com/funding_round/pluvo-5e0c-seed--f727cec2,Seed,5000000,USD,5000000,2026-02-26,Seed,Agentic analysis for finance & strategy teams,https://pluvo.io,2,"Agentic AI, Finance, FinTech, SaaS, Software","San Francisco, California, United States, North America",,No,none,,Knowledge Graphs; Micro-model Meshes; Vertical Data Moats; Retrieval-Augmented Generation (RAG); Guardrail-as-LLM (rule-based guardrails present); Agentic Architectures; Continuous-learning Flywheels,horizontal,enterprise_saas,FP&A software / enterprise planning,b2b,"Model-first primitive: Pluvo treats 'models' as first-class containers (variables + time series + scenarios + metadata) rather than sheets or reports. Every financial concept is a named variable with forecast/actual logic and cross-model references, enabling composition of many small models instead of monolithic spreadsheets. | Lightweight formula language with time-indexing: The docs show simple, human-friendly indexing like AR[Last month] and cross-model references (NetIncome from P&L). That implies a domain-specific formula language optimized for period offsets and inter-model linking rather than raw Excel formulas. | Separation of 'actuals mapping' from forecast logic: Users map GL accounts to variables; actuals are pulled via connectors and kept distinct from forecast formulas. This allows the same variable to be driven by upstream accounting data or by forecast logic, requiring a sync and override system.",medium,medium,0.60,86700,2026-03-08T02:04:36.005960+00:00,Workday Adaptive Planning (Adaptive Insights); Anaplan; Planful (formerly Host Analytics); Cube; Vena Solutions; Causal; Jirav / Fathom / Jirav-like SMB FP&A tools; Spreadsheets (Excel / Google Sheets) + macros / ad-hoc models,"A finance-first, model-native platform that combines structured variable-based modeling, hierarchical dimensions, and direct accounting integrations to produce linked 3-statement forecasts and decision-grade outputs — with an agentic intelligence angle.","The combination of a finance-native modeling DSL (variables + functions + hierarchical dimensions) tightly integrated with accounting systems (GL mapping, QuickBooks/Xero sync, multi-entity) plus agentic analysis capabilities — enabling auditable, linked 3-statement models and automated decision-focused outputs.",medium
Series B - Lawhive,https://www.crunchbase.com/funding_round/lawhive-series-b--e5325ccd,Series B,60000000,USD,60000000,2026-02-05,Early Stage Venture,Lawhive connects clients with solicitors through an online legal services platform.,https://lawhive.co.uk,6,"Artificial Intelligence (AI), Legal Tech, SaaS","London, England, United Kingdom, Europe",Mitch Rales,No,none,,RAG (Retrieval-Augmented Generation); Guardrail-as-LLM; Vertical Data Moats; Knowledge Graphs; Micro-model Meshes; Continuous-learning Flywheels; Natural-Language-to-Code; Agentic Architectures,vertical,legal,online legal services marketplace,b2c,"Presence of a deployment/version tag (""Version: 53b814b"") embedded in content — suggests a CI/CD pipeline and build/version baking into site output. That is a lightweight signal of an engineering process that ties content releases to code deployments. | Instant, fixed‑fee quotes claim — implies a nontrivial pricing engine: an intake classifier that maps freeform user input to standardised legal scopes, a risk/complexity estimator, and a fee-schedule engine that returns deterministic quotes (likely backed by historical billing or expert-defined buckets). This is more than marketing copy; producing credible, consistent fixed fees at scale requires automation and data. | Promise of matching a user to a 'seasoned expert' within 24–48 hours — indicates a supply‑side orchestration layer: solicitor availability/schedules, SLA enforcement, prioritisation logic, and a routing algorithm that balances expertise, location (jurisdiction), price band, and time-to-connect. That's a constrained matching optimisation problem under supply/demand and regulatory constraints.",medium,medium,0.85,305270,2026-03-08T02:04:20.012581+00:00,Rocket Lawyer (UK); LegalZoom / LawDepot / online document providers; Lexoo; LawBite; Co-op Legal Services / large online UK law firms; Traditional high-street law firms / local solicitors; DoNotPay / AI-driven legal automation startups,"An online marketplace that quickly matches consumers to licensed UK solicitors (via an SRA-regulated affiliate) with instant fixed-fee quotes, faster turnaround (typically 24–48 hours) and claims of up to 50% savings versus traditional high-street firms.","A regulated-marketplace combination: a curated network of licensed UK solicitors routed via an SRA-regulated affiliate, plus standardised triage + pricing/matching systems and a substantial content/SEO funnel that drives steady, intent-driven consumer demand.",medium
Series B - Galux,https://www.crunchbase.com/funding_round/galux-series-b--82cca9f0,Series B,29000000,USD,29000000,2026-02-09,Early Stage Venture,Galux provides molecular design technology focusing on discovering and developing novel drugs for incurable and rare diseases.,https://www.galux.co.kr,3,"Artificial Intelligence (AI), Biotechnology, Medical, Product Research, Professional Services","Dogokdong, Seoul-t'ukpyolsi, South Korea, Asia","Dayli Partners, InterVest Co.",No,none,,,vertical,healthcare,drug discovery,b2b,"The visible artifact appears to be raw docs and demo text for the Froala WYSIWYG editor (plugins referenced: table.min.js, colors.min.js, inline_style.min.js, inline_style, table cell/styles handling, sticky toolbar, toolbarBottom). That strongly indicates Galux is embedding a full-featured client-side rich-text editor rather than a simplistic textarea — they prioritize complex HTML composition in the product. | They expose fine-grained editor options (tableResizerOffset, tableResizingLimit, tableStyles/tableCellStyles, tableMultipleStyles, inlineStyles, colorsBackground/colorsText/colorsStep) — this implies they want users to craft rich, styled HTML (tables, inline styles, color palettes). Supporting that in an email/newsletter product creates non-trivial downstream engineering requirements (HTML normalization, CSS inlining, email-client compatibility). | Repeated 'The requested URL was not found on this server.' and 'Index of /api' lines suggest either a misconfigured static/demo deployment or a crawler/log capture. That signals possible early-stage engineering friction in routing/assets or an automated scraping pipeline capturing broken endpoints — a window into their deployment/qa practices.",medium,low,0.80,83038,2026-03-08T02:12:28.196978+00:00,Exscientia; Insilico Medicine; Atomwise; Schrödinger; Recursion Pharmaceuticals; BenevolentAI,Specialization in molecular design targeted at discovering and developing novel drugs for incurable and rare diseases rather than a broad-spectrum platform — positioning as domain-specialist AI-driven drug discovery.,"A focused molecular design platform optimized for rare and incurable diseases combining AI-driven generative design with domain-specific biological knowledge and (likely) curated datasets and workflows tuned for low-data, high-complexity targets.",medium
Series A - Lema AI,https://www.crunchbase.com/funding_round/lema-ai-series-a--cd5572f8,Series A,17500000,USD,17500000,2026-02-09,Early Stage Venture,Lema AI is an agentic platform delivering continuous visibility and mitigation of security risks from third-party vendors.,https://www.lema.ai,2,"Artificial Intelligence (AI), Computer, Network Security","Tel Aviv, Tel Aviv, Israel, Asia",Team8,Yes,core,,Knowledge Graphs; RAG (Retrieval-Augmented Generation); Agentic Architectures; Guardrail-as-LLM (Verification / Safety Layer); Vertical Data Moats; Continuous-learning Flywheels; Micro-model Meshes (specialized small models); Natural-Language-to-Code / Rule Synthesis,horizontal,cybersecurity,Third-Party Risk Management (TPRM) for vendor ecosystems,b2b,"They treat TPRM as access and blast-radius engineering rather than questionnaire aggregation: technical emphasis is on continuous ingestion of activity logs, permission scopes, and historical events (e.g., 6 months of Workspace activity) to compute vendor 'blast radius' — i.e., the set of assets, data types, and privileges reachable by a third party. That requires building a unified access graph across identity, apps, and resources. | Agentic AI positioned as automated red‑teamers: they claim to chain heterogeneous signals (artifacts, public intel, relationship signals) and simulate attacker behavior to produce concrete exploit paths and prescriptive remediation. This implies an orchestration layer of LLM-based agents/planners that reason over structured graphs and time-series telemetry, not just text summarization. | Connector-first normalization plus historical backfill: they support many vendor APIs and patterns (service accounts, global API keys, webhooks, OAuth clients). Normalizing divergent permission models (Google scopes, Coupa OAuth scopes, Netskope token-scoped endpoints) into a common schema for reasoning is a non-trivial engineering choice that is central to their product.",high,medium,0.65,78042,2026-03-08T02:12:11.872453+00:00,OneTrust (TPRM); SecurityScorecard; BitSight; Panorays; CyberGRX; Black Kite / BitSight/Third‑party cyber risk platforms (grouped); Aravo / ProcessUnity / Archain (Vendor lifecycle and GRC vendors); Cycognito (External Attack Surface / ASM focused),"Applying 'Agentic Risk Engineering' — an attacker/mindset driven, forensic engine that correlates OSINT, vendor artifacts, and internal telemetry to prove impact, map blast radius and deliver prescriptive remediation (not just scores or checklists).","An agentic, forensic risk engine that (1) correlates multiple evidence sources (public OSINT, vendor artifacts, and internal telemetry), (2) simulates attacker paths to prove blast radius and impact, and (3) automatically generates precise remediation steps — closing the loop from detection to mitigation.",medium
Series B - FYLD,https://www.crunchbase.com/funding_round/fyld-series-b--11ca8a6c,Series B,32000000,GBP,43556023,2026-02-17,Early Stage Venture,FYLD is the frontline intelligence platform for the global infrastructure sector.,http://www.fyld.ai,5,"Artificial Intelligence (AI), Civil Engineering, Infrastructure, Productivity Tools, Public Safety, Real Time, Software","London, England, United Kingdom, Europe",Energy Impact Partners,Yes,enhancement,,Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels; Guardrail-as-LLM; Retrieval-Augmented Generation (RAG); Natural-Language-to-Code; Agentic Architectures; Knowledge Graphs,horizontal,industrial,utility field operations & safety optimization,b2b,"Field-native, multimodal data pipeline: FYLD appears to ingest video, structured workflows, chat/evidence snippets, and job metadata into a single event stream. That implies an event-driven architecture with real-time inference paths (low-latency alerts) plus heavier batch/cloud analytics for aggregated predictive models. | Productized Video Risk Assessment (VRA): they’ve productized a safety-focused computer-vision layer trained on industrial sites to spot high-consequence events (service strikes, PPE violations, unsafe setups). The claim of longitudinal incident reduction suggests tuned precision/recall and calibrated risk scoring rather than toy CV models. | Large, domain-specific dataset + human-in-the-loop labels: FYLD cites proprietary signals from ~500k worksites, 73k AI site assessments and 110k remote interventions. Those numbers indicate a data asset that couples raw media with supervisory human interventions — ideal for supervised learning, active learning loops and continual model improvement.",high,medium,0.60,132881,2026-03-08T02:22:24.408357+00:00,Salesforce Field Service (Salesforce); ServiceMax (Field service / GE Digital lineage); IBM Maximo / IBM EAM; Uptake / C3.ai (industrial predictive AI vendors); Smartvid.io (construction safety computer vision) / Autodesk safety tools; Bentley Systems (AssetWise / digital twin for utilities & infrastructure),"A frontline‑first AI platform that converts video, workflows and evidence from field workers into structured, real‑time intelligence — combining computer vision, predictive analytics and workflow automation to prevent safety incidents, reduce rework and meet regulatory compliance for utilities and infrastructure.","A domain-specific dataset and workflow-integrated AI stack: FYLD claims large-scale, labelled frontline data (hundreds of thousands of worksites) and proprietary computer-vision + predictive models embedded directly into operational workflows (video risk assessment, job-blocker prediction, automated regulatory reporting). This verticalised combination converts raw field evidence into immediate, auditable intelligence.",medium
Series B - Braintrust,https://www.crunchbase.com/funding_round/braintrust-data-series-b--6afb2baf,Series B,80000000,USD,80000000,2026-02-17,Early Stage Venture,"Braintrust is an AI-native observability startup that helps teams measure, evaluate, and improve AI models and products.",https://www.braintrust.dev,3,"Artificial Intelligence (AI), Data Integration, Data Management","San Francisco, California, United States, North America",ICONIQ Capital,Yes,tooling,"OpenAI (GPT-5.2, GPT-5-mini, GPT-5-nano); Anthropic Claude (Claude 4.6 Sonnet, Claude 4.6 Opus, Claude 4.5); Google Gemini; AWS Bedrock; Vertex AI; Azure OpenAI; Mistral; Groq; Baseten; Fireworks",Agentic Architectures; RAG (Retrieval-Augmented Generation); Guardrail-as-LLM; Micro-model Meshes; Continuous-learning Flywheels; Natural-Language-to-Code; Knowledge Graphs; Vertical Data Moats,horizontal,developer_tools,AI observability and model evaluation tooling,b2b,"Privacy-first, per-client encrypted response cache: the gateway encrypts cached LLM responses with a key derived from the caller's API key (AES-GCM). This makes cached outputs unreadable to Braintrust and scopes cached results to the originating user unless org-level sharing is explicitly enabled. | OpenAI-compatible multi-provider gateway that performs provider-agnostic translation: the gateway accepts OpenAI-style requests and can route them to Anthropic, Gemini, Bedrock, Vertex, Azure, etc., letting teams use one client surface to exercise multiple backends (including custom/self-hosted models). | Deterministic caching heuristic tied to model parameters: 'auto' cache mode caches only when requests are deterministic (temperature=0 or seed set) and only for supported endpoints (/chat/completions, /embeddings, /completions, /moderations), preventing accidental cache usage for non-deterministic calls.",high,high,0.74,203431,2026-03-08T02:22:37.209943+00:00,LangSmith (by LangChain Labs); PromptLayer / PromptOps-type tools; Weights & Biases (W&B) / Neptune.ai; Fiddler AI / Arthur.ai (ML monitoring & explainability); Datadog / OpenTelemetry-based observability stacks; Hugging Face (Inference API + Model Hub) & Baseten-type model deployment platforms,"A combined LLM-native observability + prompt management + multi-provider gateway that unifies provider access, production tracing, evaluation automation, and prompt deployment/versioning — all integrated into developer SDKs and instrumented traces.","An integrated stack that combines a multi-provider, OpenAI-compatible gateway (with provider abstraction, caching and privacy-focused encryption), LLM-first distributed tracing (spans capturing tokens, params, nested agent/tool steps), and built-in evaluation workflows (human review, scorers, automations, dataset building) — all tied into developer SDKs and prompt deployment/versioning.",medium
Seed Round - cognee inc,https://www.crunchbase.com/funding_round/cognee-inc-seed--9e796c6a,Seed,7500000,USD,7500000,2026-02-19,Seed,Semantic memory for AI apps and Agents,https://www.cognee.ai,2,"Artificial Intelligence (AI), Generative AI, Open Source, Software","Berlin, Berlin, Germany, Europe",Pebblebed,Yes,core,OpenAI; Azure OpenAI; Google Gemini; Anthropic; AWS Bedrock; Ollama; LM Studio; Custom; vLLM,Knowledge Graphs; RAG (Retrieval-Augmented Generation); Agentic Architectures; Continuous-learning Flywheels; Natural-Language-to-Code; Micro-model Meshes; Vertical Data Moats; Guardrail-as-LLM,horizontal,enterprise_saas,AI memory and knowledge graph platform for enterprise agents and data unification,b2b,"Multi-tier persistence intentionally split into relational (provenance & chunks), vector (semantic fingerprints), and graph (entities & relationships) with first-class hybrid search modes that combine graph traversal + vector similarity. The product treats these stores as complementary rather than interchangeable and exposes both graph query types (CYPHER) and vector retrieval modes in the same search pipeline. | A Rust-based on-device SDK (cognee-RS) for full memory pipelines targeting phones, wearables and IoT with sub-100ms recall, offline-first operation, and hybrid local/cloud execution. That pushes memory consistency and privacy down to constrained devices — not just cloud indexing or simple local caches. | Continuous, automatically-generated ontologies: Cognee claims ontologies are updated continuously as data changes (no manual rebuilds). That implies an online schema-evolution pipeline that reconciles entity extraction, merges new types, and updates graph structure incrementally.",high,high,0.85,74095,2026-03-08T02:31:24.371884+00:00,LlamaIndex (GPT Index); LangChain; Weaviate; Neo4j (with LLM integrations / Aura); Deepset Haystack; Pinecone / Qdrant / Chroma (vector DB providers); Vespa / Vectara,"An opinionated, end-to-end AI memory platform that unifies relational provenance, vector similarity, and a knowledge graph with automated ontologies and production-ready ingestion/search pipelines — plus an on-device Rust SDK for privacy-first, low-latency recall.","The combination of (1) an integrated three-tier storage architecture (relational provenance + vector embeddings + knowledge graph), (2) automated continuous ontology generation and cognification pipelines that turn raw data into structured memory, and (3) an on-device Rust SDK (cognee-RS) that enables privacy-preserving, sub-100ms local recall.",medium
Seed Round - Grotto AI,https://www.crunchbase.com/funding_round/grotto-ai-seed--663789b4,Seed,10000000,USD,10000000,2026-02-19,Seed,Grotto AI is an IT and Internet firm offering AI based tool for leasing and renewals.,https://www.grotto.ai/,2,"Artificial Intelligence (AI), Finance, Information Technology, Internet","New York, New York, United States, North America",ICONIQ Capital,Yes,core,EvolutionIQ's proprietary LLM platform; LLM platform,Knowledge Graphs; Natural-Language-to-Code; Guardrail-as-LLM; Micro-model Meshes; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation); Agentic Architectures; Vertical Data Moats,vertical,enterprise_saas,proptech - real estate leasing optimization,b2b,"Domain-first verticalization: Rather than selling a horizontal conversation AI, Grotto is narrowly focused on multifamily leasing — they claim models and features tuned to 'what top performers do' in leasing, which enables different label spaces and success metrics (signed lease, NOI impact) than generic sales conversation tools. | Real-time, low-latency coaching pipeline implied: Delivering live conversational guidance during calls/tours requires a streaming stack (real-time ASR + rapid intent/objection detection + on-the-fly response ranking/generation), plus UI latency constraints so agents can act in the moment. That architecture is nontrivial and atypical for many early-stage startups who opt for post-call analytics instead. | Multimodal conversational signals beyond text: They highlight laughter and 'genuine curiosity' as predictive features — this implies extraction of prosodic and paralinguistic features (laughter detection, intonation, pause length), not just ASR transcripts. Building reliable prosody models at scale across noisy tour environments is uncommon and technically hard.",high,medium,0.65,18846,2026-03-08T02:31:08.395800+00:00,LeaseHawk; Knock (Knock CRM / PointCentral); Funnel Leasing; RealPage / Yardi / Entrata (property management incumbents); Gong / Chorus (conversation intelligence); ShowMojo / CallAction / other leasing‑focused messaging/scheduling tools,"Real‑time, prescriptive AI that supercharges on‑site leasing agents in the exact human-to-human moments that determine conversion — built from verticalized, property‑level behavioral data and integrated to property CRMs/PMS with built‑in ROI measurement.","A verticalized dataset and models built specifically from millions of real leasing interactions that identify behavioral conversion signals (e.g., laughter, curiosity), combined with a real‑time guidance engine that maps top‑agent tactics to actionable coaching during live interactions and integrated ROI measurement for enterprise multifamily portfolios.",medium
Seed Round - Mirai,https://www.crunchbase.com/funding_round/mirai-8e8f-seed--dcc28d74,Seed,10000000,USD,10000000,2026-02-19,Seed,Deploy and run models of any architecture directly on user devices. Fastest inference engine built from scratch for Apple devices.,https://trymirai.com/,2,"Artificial Intelligence (AI), Information Technology, Machine Learning, Mobile Devices, Software","Hermosa Beach, California, United States, North America",Uncork Capital,Yes,core,Qwen/Qwen3-0.6B; MLX; llama.cpp; OpenAI GPT series; Google's BERT; Meta's LLaMA; HuggingFace (HF); Cartesia; DeepSeek; EssentialAI; LiquidAI,Micro-model Meshes; Guardrail-as-LLM; Natural-Language-to-Code; Vertical Data Moats,horizontal,developer_tools,on-device AI inference SDK,b2b,"End-to-end, hardware-targeted stack: They built a full pipeline (converter, optimizer, runtime) in under a year with Rust core + language bindings (Swift, TypeScript). The exported model format is modular (unified blocks) and paired with a reference implementation to enable byte-for-byte correctness checks — an unusual, engineering-heavy choice for a small startup. | Trained 'draft' models for speculative decoding integrated into the conversion pipeline: instead of opportunistically using an off-the-shelf small model as a proposal network, Mirai trains a lightweight draft model matched to the target model so it can predict multiple tokens ahead and have the main model verify them in one pass. They advertise up to ~2x generation speedup. Packaging draft-model training as part of optimization/validation is technically novel for a conversion/edge stack. | Per-layer correctness and validation tooling baked into conversion: their pipeline runs layer-by-layer comparisons against a reference output and flags deviations, exposing subtle numerical/quantization bugs early. That level of automated fidelity measurement (not just end-to-end sample checks) is uncommon in product-focused inference toolkits.",high,high,0.75,96716,2026-03-08T02:40:20.137535+00:00,"llama.cpp; MLX (Apple/MLX-like runtimes); MLC (mlc.ai / MLC-LLM & related projects); Ollama / Local model managers; Apple Core ML / FoundationModels + Core ML tooling; Hugging Face (inference tools, model hub & converters)","A full-stack, Apple Silicon–focused on-device inference solution combining a bespoke Rust runtime (uzu), a conversion/optimization pipeline (lalamo) and SDKs/bindings—positioned to deliver faster local inference and production-ready integration for iOS/macOS apps.","Combination of a hardware‑aware, proprietary runtime optimized for Apple Silicon (uzu) plus a conversion/optimization pipeline that includes trained draft models for speculative decoding, end-to-end validation, and commercial SDKs/bindings—enabling significantly faster and reliable on‑device inference for iOS/macOS apps.",medium
Series A - Avantos,https://www.crunchbase.com/funding_round/avantos-series-a--a90137f8,Series A,25000000,USD,25000000,2026-02-18,Early Stage Venture,Avantos is an AI-native operating system that systematizes and institutionalizes client data for financial services firms.,https://avantos.ai,2,"Artificial Intelligence (AI), Financial Services, FinTech, SaaS","New York, New York, United States, North America",Bessemer Venture Partners,Yes,core,,Knowledge Graphs; Agentic Architectures; RAG (Retrieval-Augmented Generation); Guardrail-as-LLM; Vertical Data Moats; Micro-model Meshes; Natural-Language-to-Code; Continuous-learning Flywheels,vertical,financial_services,wealth_management_onboarding_and_servicing,b2b,"AI-native knowledge graph layered on top of existing core systems rather than a replacement ERP/CRM: they treat the graph as the canonical 'system of context' that both humans and agents query and update. That implies entity-resolution, cross-system joins, and a live contextual layer that surfaces the right data into workflows and agent prompts in real time. | Agentic workflows that do end-to-end financial onboarding tasks (KYC, signatures, custodian mapping) and servicing orchestration: these are not just alerts or summaries but agents that appear intended to execute multi-step transactions across custodians/CRMs/underwriting systems, with real-time validations and handoff/oversight semantics. | Client model as a rich relationship graph (individuals, households, entities, roles, ownership, history) embedded into every workflow: treating relationships, roles and ownership as first-class, dynamically-updating primitives is technically different from a flat contact record and requires continuous reconciliation and propagation of state across dependent workflows.",high,medium,0.84,14413,2026-03-08T02:35:41.760160+00:00,"Salesforce Financial Services Cloud; Envestnet (including Tamarac and Envestnet platforms); Orion Advisor Services; SS&C / Advent / Black Diamond; Broadridge; Wealth CRMs and practice-management vendors (Junxure, Wealthbox, Redtail); Onboarding/KYC specialists (Alloy, Trulioo, Socure); Banking/Personalization AI vendors (Personetics, Temenos AI offerings)","An AI-native operating system that combines a client-centric knowledge graph with autonomous AI agents to automate end-to-end onboarding and servicing workflows for wealth, insurance, retirement and banking — positioned to layer on top of existing CRMs/custodians rather than replace them.","The combination of an AI-native knowledge graph that models clients, households and relationships plus agentic orchestration that can reason across that graph and execute multi-step onboarding/servicing tasks across integrated systems (custodians, CRMs, portfolio tools) while enforcing security and compliance guardrails.",medium
Seed Round - Scala,https://www.crunchbase.com/funding_round/scala-ai-seed--4cc32f18,Seed,8500000,USD,8500000,2026-02-11,Seed,Scala is an AI operations platform built for modern contact center and customer experience leaders.,https://scala.ai,1,"Artificial Intelligence (AI), Call Center, Generative AI, Information Technology, Software, Software Engineering","Bellevue, Washington, United States, North America","FUSE, Madrona",Yes,unclear,,Agentic Architectures; Vertical Data Moats (possible/implicit); Guardrail-as-LLM (possible/implicit),vertical,enterprise_saas,customer experience / contact center AI,b2b,"Site is marketing-first; no source code or architecture docs were provided. The only concrete technical signal is the product framing: an 'AI Platform for world-class operators' and 'purpose-built agentic AI' — this implies they're focusing on agent orchestration and operator workflows rather than just models-as-APIs. | Agentic/operational focus suggests an architecture that centers on: (a) a runtime for orchestrating multi-step agents, (b) a library of 'ops primitives' (connectors, actions, validations), and (c) a human-in-the-loop approval/override layer — a different product emphasis than simple prompt+RAG stacks. | Likely heavy investment in connector and integration infrastructure (enterprise systems, HR, CRM, EHR given founders' healthcare background). Building secure, low-latency connectors with fine-grained access control is nontrivial and would be a major engineering effort.",medium,low,0.50,3310,2026-03-08T02:39:45.316114+00:00,Cresta; Observe.AI; Cogito; NICE / NICE CXone; Genesys; Zendesk (and Zendesk Answer Bot / AI features); LivePerson / Ada; Amazon Connect (plus AWS ML partners),Positioning as an operator-first AI platform that combines 'agentic' generative AI with operational workflows to help contact center and CX leaders scale performance and execution.,"A combination of operator-first product design (agentic AI for operational workflows) plus founders with deep operational SaaS and enterprise experience, enabling rapid product-market fit for CX/operations teams and credible enterprise go-to-market relationships.",medium
Series B - ZaiNar,https://www.crunchbase.com/funding_round/zainar-series-b--c67120da,Series B,100000000,USD,100000000,2026-02-19,Early Stage Venture,ZaiNar develops real-time 3D location and positioning solutions using patented signal processing and network timing techniques.,http://zainartech.com,7,"Artificial Intelligence (AI), Information Technology, Mobile, Real Time, Software","Belmont, California, United States, North America",,No,none,,Vertical Data Moats; Continuous-learning Flywheels; Agentic Architectures; Knowledge Graphs; Micro-model Meshes; RAG (Retrieval-Augmented Generation),horizontal,industrial,logistics and asset tracking,b2b,"They treat time as the primary signal and position as a derived product — the core engineering emphasis is sub-nanosecond phase/time synchronization across existing RAN elements and Wi‑Fi APs, rather than inventing new ranging signals or device-side clients. | Use of SRS (uplink sounding reference signals) instead of PRS/PRS-like dedicated positioning signals is an unusual choice: SRS is high-rate (~100–500 Hz) and mandatory for connectivity, enabling continuous tracking without handset consent, but extracting reliable ranging from SRS requires coherent, phase-stable capture at the network side. | Claims of sub-10cm accuracy using only 10–20 MHz of bandwidth and ranges to 1.5 km point to phase-based carrier measurements (carrier-phase TDoA / phase-differencing) rather than classical wideband time-of-flight. That implies they are doing carrier-phase ambiguity resolution, continuous phase tracking, and network-level cycle-slip mitigation.",high,high,0.78,30960,2026-03-08T02:51:45.208839+00:00,Qualcomm; Ericsson / Nokia (telco vendors); Skyhook / WiFi-based positioning providers; Ubisense / Pozyx / Zebra (UWB RTLS vendors); Trimble / RTK GPS providers; HERE / TomTom (mapping + location platform providers); NextNav / Indoor altitude/location specialists; Google / Apple location services,"Network-side sub-nanosecond time synchronization that uses existing connectivity signals (SRS) to produce continuous, carrier-scalable, sub-meter to sub-10cm positioning without device changes or battery impact.","Patented, phase-based sub-nanosecond time synchronization and the ability to extract high-precision spatial information from existing high-rate connectivity signals (SRS) across deployed networks — enabling network-side positioning at scales, ranges, and accuracies that competitors (which depend on PRS, dedicated anchors, GNSS, or device-side cooperation) cannot match.",medium
