Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,analysis_uses_genai,analysis_genai_intensity,analysis_models_mentioned,analysis_build_patterns,analysis_market_type,analysis_sub_vertical,analysis_target_market,analysis_newsletter_potential,analysis_technical_depth,analysis_confidence_score,analysis_competitors,analysis_competitive_moat
Series A - Cambio,https://www.crunchbase.com/funding_round/cambio-0fb5-series-a--9e15935a,Series A,18000000,USD,18000000,2026-01-22,Early Stage Venture,Cambio is an AI-native commercial real estate operations platform that transforms raw building data into actionable insights.,https://www.cambio.ai,5,"Agentic AI, Artificial Intelligence (AI), Business Process Automation (BPA), Commercial Real Estate, Real Estate, Software","New York, New York, United States, North America",Maverick Ventures,Yes,core,,Agentic Architectures; Vertical Data Moats; RAG (Retrieval-Augmented Generation),vertical,commercial real estate operations,b2b,medium,medium,0.85,,
Series A - Northslope,https://www.crunchbase.com/funding_round/northslope-series-a--1c74a960,Series A,22000000,USD,22000000,2026-01-29,Early Stage Venture,Northslope develops mission-specific AI applications on the Palantir operating system for enterprise customers.,https://northslope.com,1,"Artificial Intelligence (AI), Business Intelligence, Cloud Computing, Collaboration, Data Integration, Data Visualization, Enterprise Software, Machine Learning, Software","Denver, Missouri, United States, North America","Friends & Family Capital, Goldcrest Capital",,,,,,,,,,,,
Series A - Corgi Insurance,https://www.crunchbase.com/funding_round/corgi-80d7-series-a--d35698df,Series A,108000000,USD,108000000,2026-01-08,Early Stage Venture,Corgi is the first AI Insurance and Financial Infrastructure Company.,https://www.corgi.insure,3,"Artificial Intelligence (AI), Insurance, InsurTech","San Francisco, California, United States, North America",Alumni Ventures,No,unclear,,Vertical Data Moats,vertical,InsurTech (AI-powered insurance carrier),b2b,high,medium,0.3,,
Series B - Harmattan AI,https://www.crunchbase.com/funding_round/harmattan-ai-series-b--b63702f4,Series B,200000000,USD,200000000,2026-01-12,Early Stage Venture,Harmattan AI is a technology company that develops AI-powered autonomous systems and software for military and defense applications.,https://www.harmattan.ai,3,"Artificial Intelligence (AI), Computer Vision, Military","Paris, Ile-de-France, France, Europe",Dassault Aviation,No,unclear,,Agentic Architectures; Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels,vertical,defense technology / military autonomous systems,b2b,high,high,0.3,,
Series B - StepFun,https://www.crunchbase.com/funding_round/stepstar-series-b--07aa9e06,Series B,5000000000,CNY,718050350,2026-01-26,Early Stage Venture,StepFun is an AI technology company that develops large language models and multimodal AI systems to process and generate text.,https://www.stepfun.com,3,"Artificial Intelligence (AI), Foundational AI, Generative AI, Natural Language Processing","Xuhui, Shanghai, China, Asia",,Yes,core,,Agentic Architectures,horizontal,AI infrastructure and foundational model APIs,b2b,low,low,0.7,,
Series A - Upscale AI,https://www.crunchbase.com/funding_round/upscale-ai-series-a--37a40447,Series A,200000000,USD,200000000,2026-01-21,Early Stage Venture,Upscale AI redefines networking with purpose-built solutions for high-performance compute.,https://upscaleai.com,2,"Artificial Intelligence (AI), Information Technology, Network Security","Santa Clara, California, United States, North America","Premji Invest, Tiger Global Management, Xora Innovation",Yes,core,,Vertical Data Moats; Agentic Architectures,horizontal,AI infrastructure and networking for high-performance compute,b2b,high,high,0.8,,
Series B - Listen Labs,https://www.crunchbase.com/funding_round/listen-labs-series-b--767ffe34,Series B,69000000,USD,69000000,2026-01-14,Early Stage Venture,Listen Labs is an AI-first customer research platform that automates customer interviews and delivers actionable insights.,https://www.listenlabs.ai,4,"Analytics, Artificial Intelligence (AI), Generative AI, Market Research, Software","San Francisco, California, United States, North America",Ribbit Capital,Yes,core,,Continuous-learning Flywheels; Agentic Architectures; Vertical Data Moats,horizontal,AI-powered customer research and user insights,b2b,medium,medium,0.8,,
Series B - PaleBlueDot AI,https://www.crunchbase.com/funding_round/palebluedot-ai-series-b--728ae08a,Series B,150000000,USD,150000000,2026-01-28,Early Stage Venture,PaleBlueDot AI is a technology company that provides cloud-based GPU infrastructure through a marketplace and dedicated computing clusters.,https://palebluedot.ai,2,"Artificial Intelligence (AI), Cloud Infrastructure, Information Technology, Software","Palo Alto, California, United States, North America",B Capital,No,none,,Vertical Data Moats; Agentic Architectures; Continuous-learning Flywheels,horizontal,cloud GPU infrastructure marketplace,b2b,medium,medium,0.2,,
Series B - SpotDraft,https://www.crunchbase.com/funding_round/spotdraft-series-b--beeb95dc,Series B,8000000,USD,8000000,2026-01-26,Early Stage Venture,SpotDraft is a contract automation platform that manages the entire contract lifecycle.,https://www.spotdraft.com,7,"Artificial Intelligence (AI), Legal, Legal Tech, SaaS","Bangalore, Karnataka, India, Asia",Qualcomm Ventures,Yes,enhancement,,Vertical Data Moats; RAG (Retrieval-Augmented Generation); Guardrail-as-LLM; Agentic Architectures; Continuous-learning Flywheels,horizontal,contract lifecycle management (CLM) and legal automation,b2b,high,medium,0.9,,
Series B - Unbox Robotics,https://www.crunchbase.com/funding_round/unboxrobotics-labs-series-b--c1d08672,Series B,28000000,USD,28000000,2026-01-20,Early Stage Venture,Unbox Robotics builds on-demand AI-driven warehouse robotics solutions to automate and improve logistics operations.,https://unboxrobotics.com,10,"Artificial Intelligence (AI), Industrial Automation, Intelligent Systems, Logistics, Machine Learning, Robotics, Supply Chain Management, Warehouse Automation","Bangalore, Karnataka, India, Asia","ICICI Venture, Redstart Labs",No,unclear,,,vertical,warehouse automation and logistics robotics,b2b,low,low,0.0,,
Series A - XBuild,https://www.crunchbase.com/funding_round/xbuild-series-a--4027b4c2,Series A,19000000,USD,19000000,2026-01-20,Early Stage Venture,"XBuild offers an AI-powered platform for construction tasks like estimation, supplementation, and instant financing.",https://www.x.build,2,"Artificial Intelligence (AI), InsurTech, Mobile Apps, Software","San Francisco, California, United States, North America",N47,Yes,core,ChatGPT (implied via image reference),Vertical Data Moats; Natural-Language-to-Code; Agentic Architectures; RAG (Retrieval-Augmented Generation),vertical,construction technology (ConTech) for contractors and insurance restoration,b2b,high,medium,0.9,,
Series C - Mytra,https://www.crunchbase.com/funding_round/mytra-series-c--36d413e5,Series C,120000000,USD,120000000,2026-01-15,Late Stage Venture,Mytra is a robotics company developing software-defined warehouse robotics solutions to automate industrial tasks in logistics.,http://mytra.ai,4,"Artificial Intelligence (AI), Industrial Automation, Robotics, Supply Chain Management, Warehousing","South San Francisco, California, United States, North America",Avenir,No,none,,Vertical Data Moats; Agentic Architectures,vertical,warehouse automation and logistics robotics,b2b,high,high,0.95,,
Series A - Nitro Commerce,https://www.crunchbase.com/funding_round/nitro-commerce-series-a--6a064457,Series A,5000000,USD,5000000,2026-01-07,Early Stage Venture,Nitro Commerce provides AI tools to help them reach their greatest potential.,https://nitrocommerce.ai/get-started,2,"Artificial Intelligence (AI), Information Technology","Haryana, Haryana, India, Asia",Cornerstone Ventures,Yes,enhancement,,Vertical Data Moats; Agentic Architectures; Continuous-learning Flywheels; Guardrail-as-LLM,horizontal,"commerce enablement platforms, AI-powered retail infrastructure",b2b,high,medium,0.6,,
Series A - Protege,https://www.crunchbase.com/funding_round/protege-7b9e-series-a--3cc656d6,Series A,30000000,USD,30000000,2026-01-07,Early Stage Venture,Protege is the AI training data platform enabling seamless and compliant data exchange.,https://www.withprotege.ai,3,"Analytics, Artificial Intelligence (AI), Data Management","New City, New York, United States, North America",Andreessen Horowitz,Yes,core,,Vertical Data Moats; RAG (Retrieval-Augmented Generation); Micro-model Meshes,horizontal,medical AI data platforms,b2b,high,high,0.9,,
Series A - Fulcrum,https://www.crunchbase.com/funding_round/fulcrum-ab09-series-a--8dc8042d,Series A,25000000,USD,25000000,2026-01-27,Early Stage Venture,Fulcrum is an AI-powered platform designed to help insurance account managers handle larger books of business more efficiently.,https://www.withfulcrum.com,4,"Artificial Intelligence (AI), Insurance, Software","San Francisco, California, United States, North America",CRV,Yes,core,,Guardrail-as-LLM; Agentic Architectures; Vertical Data Moats; Continuous-learning Flywheels,vertical,insurance automation (insurtech),b2b,high,high,0.95,,
Pre Seed Round - Playad.ai,https://www.crunchbase.com/funding_round/gigr-pre-seed--95ad134a,Pre-Seed,5400000,USD,5400000,2026-01-22,Seed,Playad.ai develops an AI-native marketing platform for multi-agent ad workflows and interactive ad creatives.,https://playad.ai,1,"Advertising, Advertising Platforms, Artificial Intelligence (AI), Digital Marketing, Marketing, Marketing Automation, Productivity Tools, SaaS, Software","South San Francisco, Pennsylvania, United States, North America","BRV Capital Management, Mirae Asset Venture Investment",Yes,core,Nano Banana Pro; Sora 2; Veo 3.1; Sora 2 Pro; Kling 2.6,Vertical Data Moats; Natural-Language-to-Code; Micro-model Meshes; Agentic Architectures,horizontal,AI-powered advertising creative automation,b2b,high,high,0.98,,
Series A - RISA Labs,https://www.crunchbase.com/funding_round/risa-labs-ai-series-a--61e37e2f,Series A,11100000,USD,11100000,2026-01-13,Early Stage Venture,"Oncology first, AI Transformation Lab. Pioneers of BOSS [Business (Operating System) as Service]. We serve mission critical institutions.",https://www.risalabs.ai,2,"Artificial Intelligence (AI), Enterprise Software","Palo Alto, California, United States, North America","Cencora Ventures, Optum Ventures",Yes,core,,Agentic Architectures; Vertical Data Moats; Micro-model Meshes; Knowledge Graphs; Agentic Architectures; Continuous-learning Flywheels,vertical,oncology clinical operations automation,b2b,high,high,0.8,,
Seed Round - BottleCap AI,https://www.crunchbase.com/funding_round/bottlecap-ai-seed--1512e302,Seed,7500000,USD,7500000,2026-01-29,Seed,BottleCap AI is a startup dedicated to producing highly efficient large language models (LLMs) using unique architectures..,https://www.bottlecapai.com,1,"Artificial Intelligence (AI), Internet",,The Twenty Minute VC,,,,,,,,,,,,
Seed Round - Coxwave,https://www.crunchbase.com/funding_round/coxwave-c11d-seed--524bf400,Seed,7000000000,KRW,4743261,2026-01-14,Seed,"Coxwave provides product analytics and observability for AI apps through Skylight, tracking LLM prompts, metrics, feedback, evaluations.",https://www.coxwave.com,3,"Analytics, Artificial Intelligence (AI), B2B, Consulting, Information Technology, Machine Learning, SaaS, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",L&S Venture Capital,Yes,core,OpenAI; Claude; Anthropic; NVIDIA,Agentic Architectures; Continuous-learning Flywheels; Vertical Data Moats; Micro-model Meshes; Guardrail-as-LLM,horizontal,AI product analytics and observability for B2B applications,b2b,high,high,0.95,,
Series A - Higgsfield,https://www.crunchbase.com/funding_round/higgsfield-series-a--6bc335bf,Series A,80000000,USD,80000000,2026-01-15,Early Stage Venture,Higgsfield is a video AI firm committed to democratizing social media content creation for everyone.,https://higgsfield.ai,3,"Artificial Intelligence (AI), Video Editing","San Francisco, California, United States, North America",,Yes,core,Nano Banana Pro; Seedream 4.5; Soul; Kling 2.6; Cinema Studiov1.5,Micro-model Meshes; Vertical Data Moats; Agentic Architectures; Continuous-learning Flywheels,horizontal,AI-powered video and image generation for social media and entertainment,b2c,high,high,0.95,,
Seed Round - furl,https://www.crunchbase.com/funding_round/furl-6d15-seed--9ddb417d,Seed,10000000,USD,10000000,2026-01-21,Seed,The world's first AI-powered collaborative experience designer,https://furl.ai,1,"Artificial Intelligence (AI), Data Integration, SaaS, Software",,Ten Eleven Ventures,Yes,core,,Knowledge Graphs; Natural-Language-to-Code; Agentic Architectures; Vertical Data Moats,horizontal,vulnerability remediation automation,b2b,high,high,0.9,,
Series A - HeyMax,https://www.crunchbase.com/funding_round/max-heymax-ai-series-a--34d82513,Series A,11000000,USD,11000000,2026-01-28,Early Stage Venture,HeyMax is a platform for travel rewards and loyalty.,https://heymax.ai/,2,"Advertising Platforms, Artificial Intelligence (AI), Credit Cards, E-Commerce, FinTech, Loyalty Programs, Personal Finance, Shopping, Travel","Singapore, Central Region, Singapore, Asia",Peak XV Partners,No,none,,Vertical Data Moats,vertical,loyalty and rewards platforms (FinTech),b2c,medium,low,0.95,,
Series A - Juwei Technology,https://www.crunchbase.com/funding_round/juwei-technology-series-a--7eaaad54,Series A,100000000,CNY,14361007,2026-01-23,Early Stage Venture,"Juwei Technology is one of the ""Four Little Dogs of Hangzhou.",https://microrobotech.cn/?shpxid=b95f3b80-cc1c-44bd-8e2e-6f4ce9e59ab3,1,"Artificial Intelligence (AI), Robotics","Hangzhou, Zhejiang, China, Asia",Zhengqiang Corporation,No,none,,Agentic Architectures; Vertical Data Moats,vertical,"robotics for logistics, supply chain, and field operations",b2b2c,high,medium,0.95,,
Series B - Defense Unicorns,https://www.crunchbase.com/funding_round/defense-unicorns-series-b--03343f05,Series B,136000000,USD,136000000,2026-01-13,Early Stage Venture,Defense Unicorns is a software startup that provides open-source software and AI capabilities for national security systems.,https://www.defenseunicorns.com,3,"Apps, Artificial Intelligence (AI), National Security, Software, Software Engineering","Colorado Springs, Colorado, United States, North America",Bain Capital Tech Opportunities,No,none,,Vertical Data Moats; Guardrail-as-LLM; Agentic Architectures; Micro-model Meshes,vertical,defense and national security DevSecOps,b2b,high,high,0.95,,
Series B - Compa,https://www.crunchbase.com/funding_round/compa-976a-series-b--df930c80,Series B,35000000,USD,35000000,2026-01-26,Early Stage Venture,Compa provides a software platform that supplies compensation data and analytical tools for corporate pay decision processes.,http://www.compa.ai,3,"Analytics, Artificial Intelligence (AI), Enterprise Software, Human Resources, SaaS","Newport Beach, California, United States, North America",Jump Capital,Yes,core,,Agentic Architectures; Vertical Data Moats; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation),vertical,compensation analytics and management,b2b,high,high,0.9,,
Seed Round - Haiqu,https://www.crunchbase.com/funding_round/haiqu-seed--be21c371,Seed,11000000,USD,11000000,2026-01-13,Seed,Haiqu is a quantum computing software firm focusing on the development.,https://www.haiqu.ai,5,"Artificial Intelligence (AI), Hardware","Stanford, California, United States, North America",Primary Venture Partners,No,none,,Vertical Data Moats; Micro-model Meshes; Agentic Architectures,horizontal,quantum computing middleware and simulation tools,b2b,high,high,0.95,,
Series A - Optalysys,https://www.crunchbase.com/funding_round/optalysys-ltd-series-a--1022b09c,Series A,23000000,GBP,30881727,2026-01-22,Early Stage Venture,Optalysys solves the fundamental limitations of conventional computing.,http://www.optalysys.com,5,"Artificial Intelligence (AI), Big Data, Computer, Hardware, Machine Learning, Software","Leeds, Leeds, United Kingdom, Europe",Northern Gritstone,No,none,,Vertical Data Moats; Agentic Architectures; Guardrail-as-LLM; RAG (Retrieval-Augmented Generation),horizontal,confidential computing and privacy-enhancing cryptography,b2b,high,high,0.85,,
Series B - Nagro,https://www.crunchbase.com/funding_round/nagro-series-b--099619fb,Series B,50000000,BRL,9301979,2026-01-21,Early Stage Venture,"Nagro is a brazilian agfintech, delivering credit to small and midsize farmers and helping agribusiness chain reduce risk throughs BigData.",https://nagro.com.br/,7,"Agriculture, AgTech, Artificial Intelligence (AI), Big Data, Financial Services, FinTech, Lending, Machine Learning","Uberlândia, Minas Gerais, Brazil, South America",Rabo Partnerships,No,none,,Vertical Data Moats,vertical,AgFintech (Agricultural Financial Technology),b2b2c,medium,low,1.0,,
Series A - Ringg,https://www.crunchbase.com/funding_round/ringg-series-a--814a6298,Series A,480000000,INR,5281894,2026-01-20,Early Stage Venture,Ringg is an IT company that develops software for manufacturing industries.,https://www.ringg.ai,2,"Analytics, Artificial Intelligence (AI), Business Process Automation (BPA), Cloud Computing, Data Visualization, Enterprise Software, Industrial Automation, Manufacturing, Software","Bengaluru, Karnataka, India, Asia","Arkam Ventures, Capital 2B, QED Investors, Stargazer Fund, White Venture Capital",Yes,core,,Agentic Architectures; Vertical Data Moats; RAG (Retrieval-Augmented Generation); Continuous-learning Flywheels; Knowledge Graphs,horizontal,manufacturing and supply chain automation,b2b,high,high,0.95,,
Seed Round - Nexxa.ai,https://www.crunchbase.com/funding_round/nexxa-ai-seed--2f800b35,Seed,9000000,USD,9000000,2026-01-21,Seed,Specialized Artificial Intelligence for Heavy Industries,https://nexxa.ai,3,"Artificial Intelligence (AI), Commercial Real Estate, Generative AI, Industrial, Manufacturing, Mining, Oil and Gas, Railroad, Software","Sunnyvale, California, United States, North America",Construct Capital,Yes,core,,Agentic Architectures; Continuous-learning Flywheels; Vertical Data Moats,vertical,industrial automation and operations optimization,b2b,medium,medium,0.8,,
Series A - Tucuvi,https://www.crunchbase.com/funding_round/tucuvi-series-a--9aa2cb47,Series A,20000000,USD,20000000,2026-01-08,Early Stage Venture,Tucuvi is pioneering AI-first healthcare with its CE-marked platform for Phone Consultation automation.,https://tucuvi.com,6,"Artificial Intelligence (AI), Health Care, Medical Device, Natural Language Processing, Social Entrepreneurship, Virtual Assistant","Madrid, Madrid, Spain, Europe","Cathay Innovation, K Fund",Yes,core,,Agentic Architectures; Guardrail-as-LLM; Vertical Data Moats; Micro-model Meshes,vertical,clinical virtual care automation,b2b,high,high,0.9,,
Series B - Hydrosat,https://www.crunchbase.com/funding_round/hydrosat-series-b--10e90967,Series B,60000000,USD,60000000,2026-01-15,Early Stage Venture,"Hydrosat leverages thermal satellite intelligence and AI to address critical global challenges in food, security, and natural resources",https://www.hydrosat.com,11,"Aerospace, AgTech, Analytics, Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Machine Learning","Washington, District of Columbia, United States, North America","Hartree Partners, Space4Earth, Subutai Capital Partners, Truffle Capital",No,none,,Vertical Data Moats,vertical,AgTech (Agricultural Technology) & Geospatial Analytics,b2b,high,medium,0.95,,
Series A - WeatherPromise,https://www.crunchbase.com/funding_round/weatherpromise-series-a--f72829ab,Series A,12800000,USD,12800000,2026-01-13,Early Stage Venture,WeatherPromise guarantees great weather through embedded protection delivered during the purchase of travel or other outdoor activities.,https://weatherpromise.com,1,"InsurTech, Outdoors, Predictive Analytics, Travel","Morristown, New Jersey, United States, North America",Maveron,No,none,,Vertical Data Moats; Continuous-learning Flywheels; Micro-model Meshes,vertical,InsurTech (parametric insurance for travel and outdoor activities),b2b2c,high,high,1.0,,
Seed Round - Datalinx AI,https://www.crunchbase.com/funding_round/datalinx-ai-seed--10a3c22e,Seed,4200000,USD,4200000,2026-01-29,Seed,"Datalinx AI provides a platform that cleans, transforms, enriches, and monitors data to enable accurate AI insights and automated workflows.",https://datalinx.ai,1,"Artificial Intelligence (AI), Data Management, Software","New York, New York, United States, North America",High Alpha,Yes,enhancement,OpenAI; Anthropic; Deepseek; Hugging Face; Llama; Perplexity,Agentic Architectures; Natural-Language-to-Code; Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels,horizontal,MarTech data orchestration and customer data platform (CDP) enablement,b2b,high,high,0.9,,
Series C - LiveKit,https://www.crunchbase.com/funding_round/livekit-series-c--677758f6,Series C,100000000,USD,100000000,2026-01-22,Late Stage Venture,"LiveKit provides a cloud platform that enables developers to build, deploy, and manage real-time communication and AI-driven applications.",https://livekit.io,5,"Artificial Intelligence (AI), Cloud Infrastructure, Information Technology, Real Time","San Jose, California, United States, North America",Index Ventures,Yes,core,OpenAI; ChatGPT; Grok (xAI); Tavus; ElevenLabs; Claude; LLM (Large Language Model); STT (Speech-to-Text); TTS (Text-to-Speech),Agentic Architectures; Micro-model Meshes; Continuous-learning Flywheels; Vertical Data Moats; Natural-Language-to-Code,horizontal,real-time communication and AI infrastructure,b2b2c,high,high,1.0,,
Venture Round - Natural Selection,https://www.crunchbase.com/funding_round/natural-selection-5854-series-unknown--d3f4b3a0,Venture - Series Unknown,42000000,USD,42000000,2026-01-20,,Natural Selection is a technology startup that focuses on AI-powered intelligent companions.,,1,Artificial Intelligence (AI),,"Alibaba Group, Ant Group",No,none,,,horizontal,AI-powered intelligent companions (B2C virtual assistants),b2c,low,low,1.0,,
Series A - Mendra,https://www.crunchbase.com/funding_round/mendra-series-a--218f704a,Series A,82000000,USD,82000000,2026-01-21,Early Stage Venture,Mendra uses AI to accelerate clinical development and commercialization of breakthrough medicines for diseases with high unmet need.,https://www.mendra.com/,1,"Artificial Intelligence (AI), Biopharma, Medical","San Francisco, California, United States, North America","5AM Ventures, 8VC, OrbiMed",No,unclear,,Vertical Data Moats; Agentic Architectures,vertical,AI-enabled drug discovery and rare disease therapeutics,b2b2c,medium,medium,0.3,,
Seed Round - Cancilico,https://www.crunchbase.com/funding_round/cancilico-seed--92cbe235,Seed,2500000,EUR,2912161,2026-01-20,Seed,Cancilico creates AI and computer vision tools for image-based diagnostics to support healthcare professionals.,https://cancilico.com,1,"Artificial Intelligence (AI), Information Technology, Software","Dresden, Sachsen, Germany, Europe","GEDAD, HTGF (High-Tech Gruenderfonds), ROI Verwaltungsgesellschaft, TGFS - Technologiegründerfonds Sachsen",No,unclear,,Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels; Guardrail-as-LLM,vertical,clinical decision support (AI-powered image diagnostics for hematology/oncology),b2b,high,high,0.4,,
Seed Round - PowerEasy Technology,https://www.crunchbase.com/funding_round/powereasy-technology-seed--98599d13,Seed,100000000,CNY,14360388,2026-01-19,Seed,PowerEasy Technology focus on the research and development of intelligent robots and the sales of industrial robots.,https://www.phybot.tech/,3,"Artificial Intelligence (AI), Robotics, Software","Haidian, Beijing, China, Asia",,No,unclear,,,horizontal,industrial robotics and automation,b2b,low,low,0.1,,
Series B - GovDash,https://www.crunchbase.com/funding_round/realize-6f6f-series-b--a2f97de2,Series B,30000000,USD,30000000,2026-01-15,Early Stage Venture,"GovDash is a technology company that provides a data platform to track, visualize, and benchmark government and public policy metrics.",https://govdash.com,3,"Artificial Intelligence (AI), Government, Information Technology, Procurement","San Francisco, California, United States, North America","BCI, Mucker Capital",Yes,core,,Guardrail-as-LLM; Vertical Data Moats; Micro-model Meshes,vertical,government contracting (GovCon) SaaS / procurement automation,b2b,high,high,0.95,,
Seed Round - Biopeak,https://www.crunchbase.com/funding_round/biopeak-seed--6ea4f72a,Seed,248000000,INR,2698912,2026-01-29,Seed,"Biopeak offers personalized health and wellness services that integrate diagnostics, AI-driven analytics, and tailored interventions.",https://www.biopeak.com,2,"Artificial Intelligence (AI), Health Care, Training, Wellness","Bengaluru, Karnataka, India, Asia",NKSQUARED,No,unclear,,Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels; Knowledge Graphs,vertical,precision health & longevity clinics,b2c,high,high,0.4,,
Seed Round - Risotto,https://www.crunchbase.com/funding_round/risotto-85d1-seed--78ed8695,Seed,10000000,USD,10000000,2026-01-27,Seed,"Risotto is an AI ChatOps for IT support, boosting efficiency and security with instant resolution and 24/7 automation, all via chat.",https://www.tryrisotto.com,2,"Artificial Intelligence (AI), Information Technology","San Francisco, California, United States, North America",Bonfire Ventures,Yes,core,,Knowledge Graphs; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation); Agentic Architectures; Vertical Data Moats,horizontal,IT Service Management Automation,b2b,high,high,0.85,,
Seed Round - Paraglide AI,https://www.crunchbase.com/funding_round/paraglide-ai-seed--83bf41b4,Seed,5000000,USD,5000000,2026-01-27,Seed,"Paraglide AI agents handle your financial inbox, automatically respond to client invoice queries, chase payment on overdue.",https://www.paraglide.ai,1,Artificial Intelligence (AI),"Malmö, Skane Lan, Sweden, Europe","Bessemer Venture Partners, DN Capital",,,,,,,,,,,,
Venture Round - Uni-Ubi,https://www.crunchbase.com/funding_round/uni-ubi-series-unknown--16d6aff8,Venture - Series Unknown,513000000,CNY,73698425,2026-01-20,,Uni-Ubi is an AI and IoT solutions provider for smart cities.,http://www.uni-ubi.com/,7,"Artificial Intelligence (AI), Robotics","Hangzhou, Zhejiang, China, Asia","Crewstone International, Shanhai Industrial Group, Yijia Fund",No,none,,Vertical Data Moats; Micro-model Meshes; Agentic Architectures,vertical,"smart city infrastructure (AIoT for access control, surveillance, and analytics)",b2b,medium,medium,0.95,,
Series A - Chata.ai,https://www.crunchbase.com/funding_round/chata-ai-series-a--3235963d,Series A,10000000,USD,10000000,2026-01-21,Early Stage Venture,"Chata.ai empowers businesses with proactive alerts and natural language analysis, delivering real-time insights for better decisions.",https://chata.ai/,5,"Analytics, Artificial Intelligence (AI), Business Intelligence, Information Technology, Machine Learning, Natural Language Processing, SaaS, Software","Calgary, Alberta, Canada, North America","7RIDGE, Izou Partners",No,none,,Natural-Language-to-Code; Vertical Data Moats; Guardrail-as-LLM,horizontal,business intelligence & analytics SaaS,b2b,high,medium,0.95,,
Series A - Signet Therapeutics,https://www.crunchbase.com/funding_round/signet-therapeutics-bee2-series-a--4c2c94a9,Series A,80000000,CNY,11464603,2026-01-14,Early Stage Venture,Signet Therapeutics is a cutting-edge firm that conducts research and development on cancer-targeted drugs.,http://signettx.com,6,"Artificial Intelligence (AI), Biotechnology, Therapeutics","Shenzhen, Guangdong, China, Asia",,Yes,enhancement,,Vertical Data Moats,vertical,AI-driven drug discovery and oncology therapeutics,b2b,medium,medium,0.7,,
Seed Round - Hexalog,https://www.crunchbase.com/funding_round/hexalog-d0e2-seed--35da1a88,Seed,4000000,USD,4000000,2026-01-13,Seed,Hexalog is a AI-powered platform for cross-border supply chains.,https://hexalog.in,2,"Artificial Intelligence (AI), Supply Chain Management, Transportation","Delhi, Delhi, India, Asia",Enrission India Capital,No,none,,Vertical Data Moats; Agentic Architectures,vertical,AI-powered supply chain and logistics,b2b,medium,medium,0.95,,
Series A - Looki,https://www.crunchbase.com/funding_round/looki-series-a--991ad7a8,Series A,20000000,USD,20000000,2026-01-05,Early Stage Venture,"Looki is building the next generation of human-centric ai platforms - emotionally aware, and deeply embedded in the physical world.",https://www.looki.ai/,4,Artificial Intelligence (AI),"Toronto, Ontario, Canada, North America",Ant Group,Yes,core,,Micro-model Meshes; Continuous-learning Flywheels; Agentic Architectures; Vertical Data Moats; Multimodal AI (Novel/Extension),vertical,AI-powered consumer electronics (wearables),b2c,high,high,0.9,,
Series B - Haier New Energy,https://www.crunchbase.com/funding_round/haier-new-energy-series-b--1bdd77e4,Series B,1000000000,CNY,143603883,2026-01-19,Early Stage Venture,"Haier New Energy expands green and low-carbon solutions under the background of the ""dual carbon"" goal.",https://cn.haier-energy.com/,2,"Artificial Intelligence (AI), Energy, Manufacturing","Qingdao, Fujian, China, Asia",,No,none,,Guardrail-as-LLM; Continuous-learning Flywheels; Vertical Data Moats,vertical,energy manufacturing and green technology,b2b,medium,low,0.95,,
Seed Round - Biographica,https://www.crunchbase.com/funding_round/biographica-seed--853f86fa,Seed,7000000,GBP,9454272,2026-01-07,Seed,Biographica is a biotechnology company that accelerates gene discovery in agriculture with knowledge graphs and machine learning.,https://graphica.bio,1,"Agriculture, Artificial Intelligence (AI), Biotechnology","Spitalfields, Essex, United Kingdom, Europe",Faber,No,none,,Knowledge Graphs; Micro-model Meshes; Continuous-learning Flywheels; Vertical Data Moats,vertical,agricultural biotechnology (agbiotech),b2b,high,high,0.9,,
Seed Round - Midship,https://www.crunchbase.com/funding_round/midship-seed--7e0c71b5,Seed,4150000,USD,4150000,2026-01-27,Seed,Midship is an AI-powered application that automates the extraction of data from various documents,https://midship.ai/,2,"Artificial Intelligence (AI), Data Management, Information Technology","San Francisco, California, United States, North America",Costanoa Ventures,Yes,core,,Agentic Architectures; Vertical Data Moats; Guardrail-as-LLM; RAG (Retrieval-Augmented Generation); Continuous-learning Flywheels,vertical,audit automation and SOX compliance,b2b,high,high,0.95,,
Seed Round - Brickanta,https://www.crunchbase.com/funding_round/brickanta-seed--97dc3ecb,Seed,8000000,USD,8000000,2026-01-27,Seed,"Brickanta uses AI to automate construction documents and project workflows, reduce errors, streamline tasks, & deliver actionable insights.",https://brickanta.com,2,"Artificial Intelligence (AI), Construction, Project Management, SaaS, Software","Stockholm, Stockholms Lan, Sweden, Europe",Northzone,No,none,,,vertical,construction technology (ConTech),b2b,low,low,0.9,,
